Holiday,Date
Boże Ciało,2056-06-01
Wniebowzięcie NMP,2056-08-15
Dzień Wszystkich Świętych,2056-11-01
Narodowe Święto Niepodległości,2056-11-11
Wigilia Bożego Narodzenia,2056-12-24
Boże Narodzenie – pierwszy dzień świąt,2056-12-25
Boże Narodzenie – drugi dzień świąt,2056-12-26
Nowy Rok,2057-01-01
Trzech Króli,2057-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2057-04-22
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2057-04-23
1 Maja – Święto Pracy,2057-05-01
Święto Konstytucji 3 Maja,2057-05-03
Zesłanie Ducha Świętego,2057-06-10
Boże Ciało,2057-06-21
Wniebowzięcie NMP,2057-08-15
Dzień Wszystkich Świętych,2057-11-01
Narodowe Święto Niepodległości,2057-11-11
Wigilia Bożego Narodzenia,2057-12-24
Boże Narodzenie – pierwszy dzień świąt,2057-12-25
Boże Narodzenie – drugi dzień świąt,2057-12-26
Nowy Rok,2058-01-01
Trzech Króli,2058-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2058-04-14
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2058-04-15
1 Maja – Święto Pracy,2058-05-01
Święto Konstytucji 3 Maja,2058-05-03
Zesłanie Ducha Świętego,2058-06-02
Boże Ciało,2058-06-13
Wniebowzięcie NMP,2058-08-15
Dzień Wszystkich Świętych,2058-11-01
Narodowe Święto Niepodległości,2058-11-11
Wigilia Bożego Narodzenia,2058-12-24
Boże Narodzenie – pierwszy dzień świąt,2058-12-25
Boże Narodzenie – drugi dzień świąt,2058-12-26
Nowy Rok,2059-01-01
Trzech Króli,2059-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2059-03-30
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2059-03-31
1 Maja – Święto Pracy,2059-05-01
Święto Konstytucji 3 Maja,2059-05-03
Zesłanie Ducha Świętego,2059-05-18
Boże Ciało,2059-05-29
Wniebowzięcie NMP,2059-08-15
Dzień Wszystkich Świętych,2059-11-01
Narodowe Święto Niepodległości,2059-11-11
Wigilia Bożego Narodzenia,2059-12-24
Boże Narodzenie – pierwszy dzień świąt,2059-12-25
Boże Narodzenie – drugi dzień świąt,2059-12-26
Nowy Rok,2060-01-01
Trzech Króli,2060-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2060-04-18
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2060-04-19
1 Maja – Święto Pracy,2060-05-01
Święto Konstytucji 3 Maja,2060-05-03
Zesłanie Ducha Świętego,2060-06-06
Boże Ciało,2060-06-17
Wniebowzięcie NMP,2060-08-15
Dzień Wszystkich Świętych,2060-11-01
Narodowe Święto Niepodległości,2060-11-11
Wigilia Bożego Narodzenia,2060-12-24
Boże Narodzenie – pierwszy dzień świąt,2060-12-25
Boże Narodzenie – drugi dzień świąt,2060-12-26
Nowy Rok,2061-01-01
Trzech Króli,2061-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2061-04-10
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2061-04-11
1 Maja – Święto Pracy,2061-05-01
Święto Konstytucji 3 Maja,2061-05-03
Zesłanie Ducha Świętego,2061-05-29
Boże Ciało,2061-06-09
Wniebowzięcie NMP,2061-08-15
Dzień Wszystkich Świętych,2061-11-01
Narodowe Święto Niepodległości,2061-11-11
Wigilia Bożego Narodzenia,2061-12-24
Boże Narodzenie – pierwszy dzień świąt,2061-12-25
Boże Narodzenie – drugi dzień świąt,2061-12-26
Nowy Rok,2062-01-01
Trzech Króli,2062-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2062-03-26
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2062-03-27
1 Maja – Święto Pracy,2062-05-01
Święto Konstytucji 3 Maja,2062-05-03
Zesłanie Ducha Świętego,2062-05-14
Boże Ciało,2062-05-25
Wniebowzięcie NMP,2062-08-15
Dzień Wszystkich Świętych,2062-11-01
Narodowe Święto Niepodległości,2062-11-11
Wigilia Bożego Narodzenia,2062-12-24
Boże Narodzenie – pierwszy dzień świąt,2062-12-25
Boże Narodzenie – drugi dzień świąt,2062-12-26
Nowy Rok,2063-01-01
Trzech Króli,2063-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2063-04-15
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2063-04-16
1 Maja – Święto Pracy,2063-05-01
Święto Konstytucji 3 Maja,2063-05-03
Zesłanie Ducha Świętego,2063-06-03
Boże Ciało,2063-06-14
Wniebowzięcie NMP,2063-08-15
Dzień Wszystkich Świętych,2063-11-01
Narodowe Święto Niepodległości,2063-11-11
Wigilia Bożego Narodzenia,2063-12-24
Boże Narodzenie – pierwszy dzień świąt,2063-12-25
Boże Narodzenie – drugi dzień świąt,2063-12-26
Nowy Rok,2064-01-01
Trzech Króli,2064-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2064-04-06
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2064-04-07
1 Maja – Święto Pracy,2064-05-01
Święto Konstytucji 3 Maja,2064-05-03
Zesłanie Ducha Świętego,2064-05-25
Boże Ciało,2064-06-05
Wniebowzięcie NMP,2064-08-15
Dzień Wszystkich Świętych,2064-11-01
Narodowe Święto Niepodległości,2064-11-11
Wigilia Bożego Narodzenia,2064-12-24
Boże Narodzenie – pierwszy dzień świąt,2064-12-25
Boże Narodzenie – drugi dzień świąt,2064-12-26
Nowy Rok,2065-01-01
Trzech Króli,2065-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2065-03-29
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2065-03-30
1 Maja – Święto Pracy,2065-05-01
Święto Konstytucji 3 Maja,2065-05-03
Zesłanie Ducha Świętego,2065-05-17
Boże Ciało,2065-05-28
Wniebowzięcie NMP,2065-08-15
Dzień Wszystkich Świętych,2065-11-01
Narodowe Święto Niepodległości,2065-11-11
Wigilia Bożego Narodzenia,2065-12-24
Boże Narodzenie – pierwszy dzień świąt,2065-12-25
Boże Narodzenie – drugi dzień świąt,2065-12-26
Nowy Rok,2066-01-01
Trzech Króli,2066-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2066-04-11
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2066-04-12
1 Maja – Święto Pracy,2066-05-01
Święto Konstytucji 3 Maja,2066-05-03
Zesłanie Ducha Świętego,2066-05-30
Boże Ciało,2066-06-10
Wniebowzięcie NMP,2066-08-15
Dzień Wszystkich Świętych,2066-11-01
Narodowe Święto Niepodległości,2066-11-11
Wigilia Bożego Narodzenia,2066-12-24
Boże Narodzenie – pierwszy dzień świąt,2066-12-25
Boże Narodzenie – drugi dzień świąt,2066-12-26
Nowy Rok,2067-01-01
Trzech Króli,2067-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2067-04-03
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2067-04-04
1 Maja – Święto Pracy,2067-05-01
Święto Konstytucji 3 Maja,2067-05-03
Zesłanie Ducha Świętego,2067-05-22
Boże Ciało,2067-06-02
Wniebowzięcie NMP,2067-08-15
Dzień Wszystkich Świętych,2067-11-01
Narodowe Święto Niepodległości,2067-11-11
Wigilia Bożego Narodzenia,2067-12-24
Boże Narodzenie – pierwszy dzień świąt,2067-12-25
Boże Narodzenie – drugi dzień świąt,2067-12-26
Nowy Rok,2068-01-01
Trzech Króli,2068-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2068-04-22
Lany Poniedziałek – 2 dzień świąt Wielkanocnych,2068-04-23
1 Maja – Święto Pracy,2068-05-01
Święto Konstytucji 3 Maja,2068-05-03
Zesłanie Ducha Świętego,2068-06-10
Boże Ciało,2068-06-21
Wniebowzięcie NMP,2068-08-15
Dzień Wszystkich Świętych,2068-11-01
Narodowe Święto Niepodległości,2068-11-11
Wigilia Bożego Narodzenia,2068-12-24
Boże Narodzenie – pierwszy dzień świąt,2068-12-25
Boże Narodzenie – drugi dzień świąt,2068-12-26
Nowy Rok,2069-01-01
Trzech Króli,2069-01-06
Wielkanoc – 1 dzień świąt Wielkanocnych,2069-04-14
